Pid      Process              Base       InLoad InInit InMem MappedPath
-------- -------------------- ---------- ------ ------ ----- ----------
       4 System               0x7c900000 False  False  False \WINDOWS\system32\ntdll.dll
     368 smss.exe             0x48580000 True   False  True  \WINDOWS\system32\smss.exe
     368 smss.exe             0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     584 csrss.exe            0x00460000 False  False  False \WINDOWS\Fonts\vgasys.fon
     584 csrss.exe            0x4a680000 True   False  True  \WINDOWS\system32\csrss.exe
     584 csrss.exe            0x75b40000 True   True   True  \WINDOWS\system32\csrsrv.dll
     584 csrss.exe            0x75b50000 True   True   True  \WINDOWS\system32\basesrv.dll
     584 csrss.exe            0x7e720000 True   True   True  \WINDOWS\system32\sxs.dll
     584 csrss.exe            0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     584 csrss.exe            0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     584 csrss.exe            0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     584 csrss.exe            0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
     584 csrss.exe            0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     584 csrss.exe            0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     584 csrss.exe            0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     584 csrss.exe            0x75b60000 True   True   True  \WINDOWS\system32\winsrv.dll
     608 winlogon.exe         0x01000000 True   False  True  \WINDOWS\system32\winlogon.exe
     608 winlogon.exe         0x01630000 True   True   True  \WINDOWS\system32\xpsp2res.dll
     608 winlogon.exe         0x76f50000 True   True   True  \WINDOWS\system32\wtsapi32.dll
     608 winlogon.exe         0x76360000 True   True   True  \WINDOWS\system32\winsta.dll
     608 winlogon.exe         0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     608 winlogon.exe         0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
     608 winlogon.exe         0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     608 winlogon.exe         0x76b40000 True   True   True  \WINDOWS\system32\winmm.dll
     608 winlogon.exe         0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
     608 winlogon.exe         0x77bd0000 True   True   True  \WINDOWS\system32\midimap.dll
     608 winlogon.exe         0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
     608 winlogon.exe         0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
     608 winlogon.exe         0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
     608 winlogon.exe         0x77920000 True   True   True  \WINDOWS\system32\setupapi.dll
     608 winlogon.exe         0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     608 winlogon.exe         0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     608 winlogon.exe         0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     608 winlogon.exe         0x72d20000 True   True   True  \WINDOWS\system32\wdmaud.drv
     608 winlogon.exe         0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     608 winlogon.exe         0x769c0000 True   True   True  \WINDOWS\system32\userenv.dll
     608 winlogon.exe         0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     608 winlogon.exe         0x76fd0000 True   True   True  \WINDOWS\system32\clbcatq.dll
     608 winlogon.exe         0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
     608 winlogon.exe         0x71bf0000 True   True   True  \WINDOWS\system32\samlib.dll
